Model,SSE,MSE,FirstQuartile,Median,ThirdQuartile,Maximum
Mean model,89.2387543252595,0.072,0.0,0.0,0.002,9.0
Modified mean model,84.34212802768167,0.069,0.0,0.0,0.0,9.0
Zero model,86.0,0.07,0.0,0.0,0.0,9.0
Linear regression,177.55405630664922,0.144,0.0,0.001,0.013,26.426
"Increment model: g, g, g",89.97882826254707,0.073,0.0,0.0,0.0,9.454
"Increment model: g, g, i",93.41383027108714,0.076,0.0,0.0,0.0,13.539
"Increment model: g, i, g",74.71423227835393,0.061,0.0,0.0,0.0,6.37
"Increment model: g, i, i",72.834614464462,0.059,0.0,0.0,0.0,5.254
"Increment model: i, g, g",87.71482866142554,0.071,0.0,0.0,0.0,8.161
"Increment model: i, g, i",89.8662843152969,0.073,0.0,0.0,0.0,10.757
"Increment model: i, i, g",77.44692489167544,0.063,0.0,0.0,0.0,6.306
"Increment model: i, i, i",72.75096361380506,0.059,0.0,0.0,0.0,5.215
