Model,SSE,MSE,FirstQuartile,Median,ThirdQuartile,Maximum
Mean model,89.2387543252595,0.072,0.0,0.0,0.002,9.0
Modified mean model,84.34212802768167,0.069,0.0,0.0,0.0,9.0
Zero model,86.0,0.07,0.0,0.0,0.0,9.0
Linear regression,173.979965665311,0.141,0.0,0.001,0.016,24.021
"Increment model: g, g, g",90.62880133352765,0.074,0.0,0.0,0.0,9.747
"Increment model: g, g, i",97.83560610840692,0.079,0.0,0.0,0.001,14.152
"Increment model: g, i, g",75.83888864203195,0.062,0.0,0.0,0.0,6.243
"Increment model: g, i, i",76.04623496835005,0.062,0.0,0.0,0.003,5.888
"Increment model: i, g, g",88.3078877390426,0.072,0.0,0.0,0.0,8.294
"Increment model: i, g, i",96.34850696819437,0.078,0.0,0.0,0.001,12.706
"Increment model: i, i, g",79.31051327794833,0.064,0.0,0.0,0.0,6.17
"Increment model: i, i, i",76.9404497606075,0.063,0.0,0.0,0.002,5.837
